index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
24,default,https://doujin-assets.dmm.co.jp/digital/cg/d_203812/d_203812pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_203812/,同じ班になった女子と隠れてハメまくり修学旅行,川洲出版,CG,False,,,660,19403,,11
25,default,https://doujin-assets.dmm.co.jp/digital/cg/d_705300/d_705300pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_705300/,ご依頼作品まとめ〜か〇や様編〜,D2 Algorithm,CG,True,20%OFF,704,880,273,,
26,default,https://doujin-assets.dmm.co.jp/digital/cg/d_693922/d_693922pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_693922/,昔大好きだったムチムチ巨乳の担任教師がお隣さんになった〜モラハラ旦那から寝取ってラブラブ恋人になっちゃう話〜,なのはなジャム,CG,True,,,770,2055,,3
27,default,https://doujin-assets.dmm.co.jp/digital/cg/d_135796/d_135796pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_135796/,無視せざるを得ぬ町…っ！,まろん☆まろん,CG,False,50%OFF,550,1100,185626,,218
28,default,https://doujin-assets.dmm.co.jp/digital/cg/d_671374/d_671374pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_671374/,予備校恋愛〜浪人中にできた彼女がエロすぎて〜,なのはなジャム,CG,True,,,770,4030,,3
29,default,https://doujin-assets.dmm.co.jp/digital/cg/d_266851/d_266851pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_266851/,身体測定の結果で性教育する学校,六畳,CG,False,50%OFF,165,330,26923,,13
30,default,https://doujin-assets.dmm.co.jp/digital/cg/d_680106/d_680106pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_680106/,人妻ギャルがスワッピングで巨根男に孕まされてお持ち帰りされた話,アイチルワークス,CG,False,,,990,5451,,8
31,default,https://doujin-assets.dmm.co.jp/digital/cg/d_683992/d_683992pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_683992/,悪いおじさん達に身を捧げて葬儀屋を守る堂主の話,Made in Harutoshi,動画,False,50%OFF,1485,2970,618,,1
32,default,https://doujin-assets.dmm.co.jp/digital/cg/d_266843/d_266843pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_266843/,願いが叶う保健室,六畳,CG,False,50%OFF,165,330,6704,,3
33,default,https://doujin-assets.dmm.co.jp/digital/cg/d_243650/d_243650pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_243650/,【3DCGアニメ】僕らの都合のいい性処理マネージャー,みゅるめーく,動画,False,30%OFF,1386,1980,19679,,66
34,default,https://doujin-assets.dmm.co.jp/digital/cg/d_595320/d_595320pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_595320/,雫の快楽堕ちマネージャー生活,ソクラテス,動画,True,50%OFF,605,1210,6272,,17
35,default,https://doujin-assets.dmm.co.jp/digital/cg/d_687296/d_687296pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_687296/,●拐●●桜井陽菜 監●調●痴育記録〜僕の天使と地下性活〜 The Motion Anime,survive more,動画,True,,,2750,251,,
36,default,https://doujin-assets.dmm.co.jp/digital/cg/d_652998/d_652998pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_652998/,スクショタイム -投げ銭たまったら中出しします-【アニメーション】,リアルサウンド,動画,False,50%OFF,990,1980,1808,,6
37,default,https://doujin-assets.dmm.co.jp/digital/cg/d_671742/d_671742pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_671742/,どうやら俺にはフィアンセがいるらしい,なのはなジャム,CG,True,,,770,2204,,2
